cluster,lat,lon,n_cells,detections,max_days,mean_frp,extent_km,cluster_days
0,10.813901501322752,79.30590380820105,3,164,128,0.7034726631393298,0.8,149
1,10.880754,77.267458,1,5,4,0.484,0.3,4
2,10.92738159259259,77.06373042037036,3,151,73,0.9665888888888888,1.4,129
3,11.179820218954248,79.09402541666667,4,178,90,0.8749362745098039,2.1,164
4,11.304842068181818,79.80561396212121,4,47,32,1.041909090909091,1.1,45
5,11.813556655047993,77.91886134649641,5,919,356,1.8046717978844817,2.0,533
6,12.80797,77.43362,1,1,1,0.54,0.0,1
7,12.853659146634616,79.90518567708332,4,57,20,2.3978806089743587,1.3,41
8,12.9666725,79.9144475,2,6,4,1.4825,0.6,6
9,13.083403793103448,79.98033258620688,2,30,24,1.4374137931034483,0.8,25
10,13.003213888888888,74.85104444444444,1,18,15,1.7072222222222222,0.5,15
11,13.160200872822202,80.2845566688894,2,397,225,2.099356165938369,1.5,319
12,13.291600416666668,80.3435588888889,2,37,33,1.9538888888888888,1.0,34
13,13.392156486486487,80.10193162162163,1,37,36,1.047837837837838,0.6,36
14,13.420042564102564,80.08833538461538,1,39,34,1.0194871794871794,0.6,34
15,13.554924924098671,77.0129220113852,2,48,31,0.5501423149905124,0.6,46
16,13.715259499999998,79.62471891666667,4,24,10,1.2348333333333332,0.7,23
17,13.898374458333333,76.56498916666666,2,54,29,0.8950833333333332,0.9,52
18,14.588063770491804,78.58064049180328,1,61,57,1.05,0.5,57
19,14.60534298477564,78.52243885016026,2,122,94,1.0564022435897436,0.8,118
20,14.87393905050505,78.0532032121212,3,154,120,1.6814747474747476,0.9,129
21,14.93036125,78.33993625,1,8,8,0.7625,0.4,8
22,15.01426705128205,76.89815544871794,2,41,37,0.8394871794871795,0.8,39
23,15.005158419117645,76.99921130514706,2,66,31,1.6845588235294118,0.8,53
24,15.024005530309411,78.0143137458937,4,611,414,1.2060159057726865,1.0,517
25,15.073395960811883,76.86531470073777,4,379,234,0.9302240786078211,1.3,323
26,15.119013918918919,76.8111577027027,1,148,141,0.6928378378378379,0.7,141
27,15.140738628022524,76.70952475172075,3,871,385,0.7970567326256558,2.4,591
28,15.171670009295372,76.37712501292614,5,1662,872,1.8785223669993278,1.9,896
29,15.179460393509002,76.66337587752827,17,7175,1006,1.88723595533204,7.0,1149
30,15.175636048188464,76.78627762752265,4,159,93,0.9035948673128873,1.6,145
31,15.179593785727441,77.10263285266812,4,801,650,1.0054664343324673,1.8,677
32,15.195578293650794,76.37934470238095,2,102,81,1.2959126984126983,0.7,93
33,15.225184886767142,76.76430064413518,4,177,88,1.6239271729266944,1.0,148
34,15.314341743249129,76.25475449005518,4,86,41,0.9209618176538908,1.3,83
35,15.322049999999999,76.23254,1,5,5,0.434,0.4,5
36,15.334275555555555,76.24727492063492,3,46,39,1.0823015873015873,1.2,42
37,15.335758159339258,76.28192625713028,5,828,317,1.3738365356016788,2.0,566
38,15.525005923624864,73.99528452876055,4,412,290,1.7433969740762547,1.3,335
39,15.65850114873035,73.98886385731561,1,827,661,1.116154776299879,1.0,661
40,15.68486427549195,78.45777838103757,2,56,43,0.8585241502683363,0.6,54
41,15.915164813627932,77.36279733597571,2,170,117,0.8924481362793051,0.6,160
42,15.964234318181818,80.93876848484848,2,68,63,0.6982575757575757,0.8,63
43,16.361262500000002,81.28424333333334,2,7,5,0.43249999999999994,0.4,6
44,16.695473471760796,79.64901632890366,2,50,43,1.008405315614618,0.5,50
45,16.71495685714286,79.8180925,2,17,10,1.0118571428571428,0.4,16
46,16.8102,79.91486,1,1,1,1.17,0.0,1
47,16.831826666666668,80.03688416666667,1,12,11,0.9083333333333333,0.4,11
48,16.871461059602648,80.02354453642384,2,303,285,1.2651655629139071,0.8,286
49,16.8755184375,80.12,2,18,16,1.044375,0.4,18
50,16.88399,81.95864,1,3,3,0.7799999999999999,0.3,3
51,17.06417769787234,76.97866082928661,2,472,374,1.5531644555694617,1.3,406
52,17.14031747016899,77.1806292041973,3,311,222,1.0279340412151703,1.4,266
53,17.145399724374194,78.2243237654739,4,549,312,0.8956142213162861,1.0,463
54,17.21992442307692,79.02456596153846,2,17,13,0.5913461538461539,0.5,16
55,17.462948333333333,80.65434083333332,2,7,6,1.065,0.4,7
56,17.532578571428573,83.00020542857142,1,35,32,1.7288571428571429,0.7,32
57,17.584157241233033,80.31599350113122,4,212,136,1.2550186180241327,1.0,176
58,17.609240426901735,83.19649689675127,9,2771,922,2.339581841538529,4.3,985
59,17.69442350974026,83.24383816991342,4,147,98,2.2030339105339105,1.3,119
60,17.80782090909091,78.43217060606061,1,33,31,0.8496969696969696,0.7,31
61,17.95343356462585,80.76318720408163,3,56,28,2.9097142857142857,1.0,30
62,17.955748825757574,80.799161,2,354,272,1.9009128787878786,1.2,277
63,17.95791375,80.78191000000001,1,8,8,0.965,0.4,8
64,18.540766666666666,83.34354666666667,1,3,2,1.4266666666666667,0.4,2
65,18.670235559210525,79.55511782236842,2,59,33,2.548671052631579,1.1,47
66,18.686381544079044,73.03969781111833,7,5951,990,2.183029876025134,3.6,1218
67,18.691925,73.840465,1,2,2,1.0550000000000002,0.3,2
68,18.721073333333333,79.50658166666666,1,6,6,2.5033333333333334,0.4,6
69,18.726689232323462,79.53451112259492,5,1470,646,2.4448879674272237,3.2,703
70,18.804483444444443,74.25938111965812,2,162,103,1.8566581196581198,1.1,125
71,18.856534646028017,72.92685117551999,3,702,358,3.3924576823536015,1.4,379
72,19.015674834333733,72.90263575780313,5,292,120,2.7824876150460183,2.8,178
73,19.099496602468477,82.16583295851498,6,987,332,2.4504263251200773,2.6,357
74,19.103556070426063,73.05340597042607,3,733,515,1.3287619047619046,1.6,522
75,19.33232333333333,83.42978,1,3,2,1.0133333333333334,0.3,2
76,19.70529583333333,79.21649833333333,2,7,5,0.6166666666666667,0.4,6
77,19.724161361336034,79.17520126923077,4,228,124,1.2369068825910932,0.7,215
78,19.785988787571767,79.14666485297371,3,659,560,1.3958029090824395,0.9,589
79,19.80218452020202,78.86524636363637,2,29,17,0.736919191919192,0.5,27
80,19.924422276810354,79.11624488762014,3,632,510,1.1461611951660482,1.8,557
81,19.935501382575758,73.71197223484847,2,100,79,1.1962310606060607,0.9,86
82,19.9642597626073,79.33461826420822,4,774,393,1.5865682987732344,1.1,541
83,20.127310315255066,79.02435527733883,7,310,130,1.377823039621514,3.3,208
84,20.2105125,72.81137416666667,1,12,8,1.4941666666666666,0.6,8
85,20.246671099281222,86.60408745889488,5,429,235,2.583995193171608,2.9,325
86,20.355226875,72.94886666666667,2,11,8,0.8560416666666666,0.4,10
87,20.515207130551573,85.72487692379855,4,215,79,1.01789591425904,1.3,202
88,20.53462,85.91423,2,2,1,0.615,0.2,2
89,20.70004790402661,78.63022982012943,7,442,181,1.5121311030805422,2.7,321
90,20.762204313098145,85.29494239984349,3,951,434,3.1523434484512003,1.7,473
91,20.793079230823146,85.25836231965039,10,10676,1148,2.481791911328396,4.1,1328
92,20.82793329090909,86.96389017575758,5,67,23,3.331557575757576,2.0,36
93,20.83505953696809,70.69419933833287,4,485,208,1.1987401401436726,1.2,416
