site,lat,lon,detections,days_detected,mean_frp
10.81_79.3,10.81330625,79.30465625,8,8,0.665
10.81_79.31,10.812951111111111,79.30673422222222,135,128,0.7397037037037038
10.82_79.31,10.815447142857144,79.30632095238096,21,21,0.7057142857142857
10.88_77.27,10.880754,77.267458,5,4,0.484
10.92_77.06,10.922729444444444,77.06169027777779,36,34,0.8725
10.93_77.06,10.929903333333334,77.06367773333332,75,73,0.8002666666666666
10.93_77.07,10.929511999999999,77.06582325000001,40,39,1.2269999999999999
11.17_79.09,11.174985,79.08800500000001,2,2,0.765
11.18_79.09,11.17670211111111,79.08825866666668,90,90,0.9393333333333334
11.18_79.1,11.182343764705882,79.100338,85,78,1.0754117647058823
11.19_79.1,11.18525,79.0995,1,1,0.72
11.31_79.8,11.30627,79.80476666666667,3,3,1.4666666666666668
11.31_79.81,11.305561,79.80639099999999,10,10,1.084
11.3_79.8,11.30448,79.80387,1,1,0.88
11.3_79.81,11.303057272727273,79.80742818181818,33,32,0.7369696969696969
11.81_77.91,11.81484,77.91486,1,1,1.37
11.81_77.92,11.810700864978903,77.92155335443039,474,356,1.8441772151898734
11.81_77.93,11.809313571428572,77.92583880952381,42,40,1.7954761904761904
11.82_77.91,11.81636625,77.91469000000001,8,8,2.34
11.82_77.92,11.816562588832488,77.91736456852792,394,353,1.6737055837563453
12.81_77.43,12.80797,77.43362,1,1,0.54
12.85_79.9,12.851478461538461,79.90380499999999,26,20,2.454230769230769
12.85_79.91,12.851661666666667,79.90586666666667,12,11,3.3608333333333333
12.86_79.9,12.855673333333334,79.90415666666667,3,3,1.9833333333333334
12.86_79.91,12.855823125,79.906914375,16,14,1.7931249999999999
12.97_79.91,12.96651,79.912795,4,4,1.42
12.97_79.92,12.966835,79.9161,2,2,1.545
13.08_79.98,13.081557586206896,79.98082517241379,29,24,1.3848275862068966
13.09_79.98,13.08525,79.97984,1,1,1.49
13.0_74.85,13.003213888888888,74.85104444444444,18,15,1.7072222222222222
13.16_80.28,13.160217566539924,80.28299490494297,263,225,2.404980988593156
13.16_80.29,13.160184179104478,80.28611843283582,134,127,1.7937313432835822
13.29_80.34,13.291410833333334,80.34209777777778,36,33,1.9877777777777779
13.29_80.35,13.29179,80.34502,1,1,1.92
13.39_80.1,13.392156486486487,80.10193162162163,37,36,1.047837837837838
13.42_80.09,13.420042564102564,80.08833538461538,39,34,1.0194871794871794
13.55_77.01,13.554211612903226,77.01271225806451,31,31,0.5732258064516129
13.56_77.01,13.555638235294118,77.01313176470589,17,17,0.5270588235294118
13.71_79.62,13.714395999999999,79.624078,5,5,1.0859999999999999
13.71_79.63,13.714149999999998,79.62536,3,3,0.9666666666666667
13.72_79.62,13.716256999999999,79.62374600000001,10,10,1.21
13.72_79.63,13.716235,79.62569166666667,6,6,1.6766666666666665
13.9_76.56,13.898477916666666,76.56405,24,24,1.0675
13.9_76.57,13.898271,76.56592833333335,30,29,0.7226666666666667
14.59_78.58,14.588063770491804,78.58064049180328,61,57,1.05
